PR,Title,Commits,Files,Churn,Msg_Length,Msg_Lines,Has_Issue_Ref,Has_Checklist,Has_Phase
193,Implement Chapter 3 (Variables/Scoping) and fix control flow with early returns,6,19,0.32,4739,110,True,False,False
66,"Test Suite Audit: Documentation, Quick Wins, and Silent Failure Fix (Issue #66)",0,25,0.00,0,0,False,False,False
154,Fix control flow Phi node generation for if/else statements (Issue #154),20,44,0.45,12457,297,True,False,False
156,Add CEK context helpers for functional interpreter (Issue #156),36,58,0.62,27026,663,True,False,True
153,Fix variable reassignment not updating value in context model (Issue #153),2,5,0.40,2753,59,True,False,False
159,Complete Phase 5: Context-Aware IR Validation (Supersedes PR #159),17,42,0.40,26166,663,True,False,True
139,Add SourceInfo foundation for IR error reporting (Phase 1 of #139),15,15,1.00,26166,663,True,False,True
149,Plan roadmap for self-hosting validating interpreter,4,4,1.00,4157,100,False,False,False
144,Complete Precedence Semiring Implementation (Issue #144 Phases 2-4),26,30,0.87,22732,575,True,False,True
112,Make IR generation the default behavior in app.pl (fixes #112),4,4,1.00,2512,60,False,False,False
130,Complete Phase 1-4: Unified Context memory model with collections and references (Issue #130),20,42,0.48,13694,322,True,False,True
137,Add Mermaid diagram export for IR graphs (Issue #137),4,3,1.33,1640,43,True,False,False
128,Add differential testing framework for interpreter validation (Issue #128),6,17,0.35,6145,147,True,False,True
125,Enable Chalk self-execution: Parser → Builder → Interpreter pipeline (Issue #125),20,32,0.62,20373,564,True,False,True
75,Implement pluggable optimizer pipeline infrastructure (Issue #75),1,3,0.33,578,14,True,False,True
74,Implement latent type inference and checking - All 5 Phases (Issue #74),6,34,0.18,12439,300,True,False,True
111,Implement range operator (..) semantic actions and IR generation (Issue #111),1,3,0.33,698,16,True,False,True
110,Implement string concatenation operator and string literals (Issue #110),2,3,0.67,1964,45,True,False,False
109,"Implement IR semantic actions for unary operators (!, -) (Issue #109)",4,11,0.36,1577,40,True,False,True
116,"Implement correct semantics for comparison operators (>=, <=, !=, ne, ge, le)",1,3,0.33,844,20,True,False,False
107,Add IR semantic actions for statement modifiers (Issue #107),3,2,1.50,1770,40,True,False,False
113,Refactor IR::Node into Polymorphic Subclass Hierarchy (Issue #113),8,26,0.31,6538,154,True,False,True
104,Add Sea of Nodes IR generation infrastructure (Issue #104),7,9,0.78,6940,158,True,False,True
97,Add UseStatement semantic action (Issue #97 Phase 1),4,5,0.80,6940,158,True,False,True
98,Add module support to Sea of Nodes IR (Issue #98 Phase 5),1,3,0.33,674,15,True,False,True
98,Add string support to Sea of Nodes IR (Issue #98 Phase 4),1,3,0.33,674,15,True,False,True
98,Add hash support to Sea of Nodes IR (Issue #98 Phase 3),1,3,0.33,674,15,True,False,True
98,Add array support to Sea of Nodes IR (Issue #98 Phase 2),1,3,0.33,674,15,True,False,True
98,Add class and object support to Sea of Nodes IR (Issue #98 Phase 1),2,3,0.67,674,15,True,False,True
96,Eliminate all external module dependencies from production code,1,7,0.14,1196,27,False,False,False
93,Implement Global Value Numbering optimization for Sea of Nodes IR,2,3,0.67,1685,40,False,False,False
92,Add Loop node validation and comprehensive documentation,1,5,0.20,1173,32,False,False,False
81,Implement conservative memory aliasing analysis for Sea of Nodes IR (Issue #81),1,2,0.50,1140,26,True,False,False
90,Add use-def chains to IR Graph for optimization passes,1,2,0.50,859,18,True,False,False
89,Implement systematic loop-carried dependency tracking,2,4,0.50,1173,32,False,False,False
88,Standardize Phi Node Representation in Sea of Nodes IR,1,7,0.14,784,18,True,False,False
73,Complete Sea of Nodes IR Implementation (Chapters 1-11),0,344,0.00,1140,26,True,False,False
68,Add chalk.bnf - Simplified Perl subset grammar for compilation,5,103,0.05,6411,188,True,False,False
65,Semantic Actions Architecture: Complete Implementation,0,391,0.00,0,0,False,False,False
12,Architecture Refactoring: Grammar Migration to External BNF Format (Fixes #12),0,400,0.00,2512,60,False,False,False
57,Add perl5 test suite to perl-tests/,3,759,0.00,834,24,False,False,False
53,Fix #53: Migrate tests from require chalk to use Chalk library,4,28,0.14,3528,108,True,False,False
15,Fix #15: Complete Aycock-Horspool left-recursion handling,4,8,0.50,4739,110,True,False,False
10,Add comprehensive testing and documentation for Leo items (issue #10),1,3,0.33,1577,40,True,False,True
45,"Fix issue #45: Support two-argument open, or/and operators, and special variables",0,1170,0.00,0,0,False,False,False
38,Fix #38: Add unless-else support to enable num.t parsing,0,1166,0.00,1275,25,False,False,False
40,Fix #40: Add file test operator support in expression contexts,1,2,0.50,709,18,False,False,False
39,Fix #39: Add statement modifier support for while/until/for/foreach/when,1,3,0.33,1136,29,False,False,False
